phase,lag,n_on,n_off,diff,std_off,snr,cohen_d,median_on,median_off,diff_median,auc,sinr,selectivity,pd_at_pfa,jsd,outage,lcr,afd,bestlag_phase,train_window,test_window,block_len,n_null,null_mode,stat,two_sided,amp_var,gate_var,phase_var,pfa,q
2,6,40,277,0.00703294575214386,1.1053733825683594,0.006362506654113531,0.00635206843736831,0.13659650087356567,0.1881568878889084,-0.05156038701534271,,,,,,0.25,0.20512820512820512,2.5,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
2,7,40,277,-0.13551391661167145,1.124706745147705,-0.12048821896314621,-0.12038913381697874,-0.08782552182674408,0.1484290361404419,-0.23625455796718597,,,,,,0.25,0.20512820512820512,2.5,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
2,8,40,277,-0.25300872325897217,1.1382596492767334,-0.22227680683135986,-0.22202614772852786,0.05540923401713371,0.2763006389141083,-0.22089140117168427,,,,,,0.3,0.2564102564102564,2.4,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
2,9,40,277,-0.23945286870002747,1.0080244541168213,-0.23754668235778809,-0.23289889363104818,-0.4428390860557556,0.2560116648674011,-0.6988507509231567,,,,,,0.4,0.2564102564102564,3.2,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
2,10,40,277,-0.18841460347175598,0.9088297486305237,-0.2073156237602234,-0.1983847000555238,-0.48057663440704346,0.16591991484165192,-0.6464965343475342,,,,,,0.45,0.20512820512820512,4.5,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
2,11,40,277,-0.17802339792251587,0.861831784248352,-0.20656397938728333,-0.19526861200026843,-0.36380213499069214,0.1298844814300537,-0.49368661642074585,,,,,,0.4,0.20512820512820512,4.0,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
2,12,40,277,-0.21452978253364563,0.8525413870811462,-0.2516356110572815,-0.23496728319677126,-0.10106442868709564,0.0792350098490715,-0.18029943108558655,,,,,,0.35,0.15384615384615385,4.666666666666667,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
2,13,40,277,-0.29584962129592896,0.9163966178894043,-0.32284015417099,-0.3048980888810804,-0.12258557975292206,0.04222697392106056,-0.16481254994869232,,,,,,0.35,0.15384615384615385,4.666666666666667,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
2,14,40,277,-0.26159772276878357,1.0058013200759888,-0.26008886098861694,-0.2582250607314623,-0.34190234541893005,-0.014665976166725159,-0.3272363543510437,,,,,,0.3,0.20512820512820512,3.0,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
2,15,40,277,-0.12169350683689117,0.9521020650863647,-0.1278156042098999,-0.1296025534671794,-0.32461726665496826,-0.0926082655787468,-0.23200899362564087,,,,,,0.2,0.10256410256410256,4.0,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
2,16,40,277,-0.001989603042602539,0.8573614954948425,-0.0023206116165965796,-0.002344939542920252,-0.3220745027065277,-0.15899287164211273,-0.16308163106441498,,,,,,0.125,0.15384615384615385,1.6666666666666667,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
2,17,40,277,0.04950368404388428,0.7940037250518799,0.062346916645765305,0.061899434241917184,-0.264523983001709,-0.1255635917186737,-0.13896039128303528,,,,,,0.175,0.15384615384615385,2.3333333333333335,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
2,18,40,277,0.15544374287128448,0.7983793616294861,0.19469909369945526,0.18989298555839354,-0.010982401669025421,-0.1966332346200943,0.18565082550048828,,,,,,0.25,0.23076923076923078,2.0,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
2,19,40,277,0.2962903678417206,0.8407045006752014,0.352431058883667,0.33912758600075815,0.04070635885000229,-0.3228571116924286,0.3635634779930115,,,,,,0.175,0.1794871794871795,1.75,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
2,20,40,277,0.2507714331150055,0.8650386333465576,0.2898962199687958,0.27774080206297264,0.05888417735695839,-0.4444570243358612,0.5033411979675293,,,,,,0.2,0.20512820512820512,2.0,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
2,21,40,277,0.1231151819229126,0.935935378074646,0.1315423995256424,0.12766165775887867,-0.2876615524291992,-0.4044007658958435,0.11673921346664429,,,,,,0.2,0.15384615384615385,2.6666666666666665,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
2,22,40,277,0.08561775088310242,1.0032562017440796,0.08533986657857895,0.0834403530779052,-0.2908150851726532,-0.2528911530971527,-0.03792393207550049,,,,,,0.225,0.1794871794871795,2.25,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
2,23,40,277,0.09289047122001648,1.0879589319229126,0.08538049459457397,0.08316928269102841,-0.2593943476676941,-0.20993074774742126,-0.04946359992027283,,,,,,0.25,0.1794871794871795,2.5,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
2,24,40,277,-0.018973514437675476,1.1352837085723877,-0.016712576150894165,-0.016096435816733947,-0.06986075639724731,-0.17704087495803833,0.10718011856079102,,,,,,0.225,0.10256410256410256,4.5,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
2,25,40,277,-0.16417156159877777,1.093611240386963,-0.15011875331401825,-0.1421362076254167,-0.01989584229886532,-0.11989306658506393,0.09999722242355347,,,,,,0.2,0.05128205128205128,8.0,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
2,26,40,277,-0.19519859552383423,0.9923229813575745,-0.19670873880386353,-0.1844944116521345,-0.052492640912532806,-0.06687188148498535,0.014379240572452545,,,,,,0.225,0.05128205128205128,9.0,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
2,27,40,277,-0.18015733361244202,0.9295445084571838,-0.19381248950958252,-0.1814995878207066,-0.1299249827861786,-0.03408003970980644,-0.09584493935108185,,,,,,0.225,0.05128205128205128,9.0,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
2,28,40,277,-0.14519621431827545,0.9561747312545776,-0.1518511325120926,-0.14327082868507213,-0.11975666880607605,-0.008664947934448719,-0.1110917180776596,,,,,,0.225,0.05128205128205128,9.0,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
2,29,40,277,-0.04033003747463226,1.0780025720596313,-0.03741182014346123,-0.036348868886732846,0.10678701102733612,-0.07793000340461731,0.18471701443195343,,,,,,0.225,0.10256410256410256,4.5,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
2,30,40,277,0.19239364564418793,1.1815599203109741,0.1628302037715912,0.1638641047398805,0.11569146066904068,-0.09978475421667099,0.21547621488571167,,,,,,0.2,0.15384615384615385,2.6666666666666665,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
3,0,27,236,-0.32029491662979126,1.0074154138565063,-0.31793728470802307,-0.31880470196217114,-0.5469140410423279,-0.14321844279766083,-0.40369558334350586,,,,,,0.2962962962962963,0.23076923076923078,2.6666666666666665,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
3,1,27,236,-0.14554151892662048,0.9937261343002319,-0.1464603990316391,-0.14749324217282728,-0.28644859790802,-0.06993737071752548,-0.21651121973991394,,,,,,0.25925925925925924,0.23076923076923078,2.3333333333333335,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
3,2,27,236,-0.06506253778934479,1.0800907611846924,-0.060238029807806015,-0.0615016582190516,-0.11717158555984497,-0.11288031190633774,-0.004291273653507233,,,,,,0.18518518518518517,0.23076923076923078,1.6666666666666667,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
3,3,27,236,-0.09129723161458969,1.1196264028549194,-0.08154258877038956,-0.08382830172328701,0.026648059487342834,-0.14818838238716125,0.1748364418745041,,,,,,0.18518518518518517,0.23076923076923078,1.6666666666666667,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
3,4,27,236,-0.15106460452079773,1.1125411987304688,-0.1357833743095398,-0.1401057021476556,-0.13458433747291565,-0.17988988757133484,0.04530555009841919,,,,,,0.18518518518518517,0.23076923076923078,1.6666666666666667,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
3,5,27,236,-0.2556140422821045,1.1713976860046387,-0.21821285784244537,-0.22526481537479692,-0.2656170725822449,-0.0642990991473198,-0.20131796598434448,,,,,,0.14814814814814814,0.15384615384615385,2.0,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
3,6,27,236,-0.31145644187927246,1.25272798538208,-0.2486225664615631,-0.2572671241417974,-0.3913631737232208,-0.08212824165821075,-0.3092349171638489,,,,,,0.14814814814814814,0.15384615384615385,2.0,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
3,7,27,236,-0.3411708176136017,1.2923378944396973,-0.26399505138397217,-0.2738964586327255,-0.4623427987098694,-0.04845057800412178,-0.4138922095298767,,,,,,0.14814814814814814,0.15384615384615385,2.0,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
3,8,27,236,-0.340634286403656,1.2622071504592896,-0.26987195014953613,-0.2805517734476399,-0.4640098214149475,-0.07750473916530609,-0.3865050673484802,,,,,,0.1111111111111111,0.15384615384615385,1.5,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
