phase,lag,n_on,n_off,diff,std_off,snr,cohen_d,median_on,median_off,diff_median,auc,sinr,selectivity,pd_at_pfa,jsd,outage,lcr,afd,bestlag_phase,train_window,test_window,block_len,n_null,null_mode,stat,two_sided,amp_var,gate_var,gate_source,gate_percentile,gate_threshold,gate_train,phase_var,pfa,q
2,15,38,391,9.508788273781478,24.651075986090387,0.3857352222331758,0.37954921139303005,14.623135089874268,-0.9180864095687866,15.541221499443054,,,,,,0.23684210526315788,0.16216216216216217,3.0,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
2,16,38,391,9.642113284444942,25.108905853671107,0.384011686556035,0.37507066873745754,13.526272773742676,-1.6884037256240845,15.21467649936676,,,,,,0.2631578947368421,0.16216216216216217,3.3333333333333335,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
2,17,38,391,8.617695416797588,24.575276349981333,0.3506652496627625,0.3436593817026432,12.800501823425293,-1.0517717599868774,13.85227358341217,,,,,,0.2631578947368421,0.16216216216216217,3.3333333333333335,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
2,18,38,391,6.6675073006956955,24.87062828461811,0.2680876101879336,0.26649811576396887,12.640596389770508,-0.06672387570142746,12.707320265471935,,,,,,0.18421052631578946,0.10810810810810811,3.5,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
2,19,38,391,4.669048530295209,24.87975556062984,0.18766456603310014,0.18918541556322294,10.800637245178223,2.0677638053894043,8.732873439788818,,,,,,0.21052631578947367,0.16216216216216217,2.6666666666666665,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
2,20,38,391,4.806984499488003,24.409302921916716,0.19693247754207227,0.1992604191029205,6.549731492996216,4.040106296539307,2.509625196456909,,,,,,0.15789473684210525,0.2702702702702703,1.2,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
2,21,38,391,5.30723199750669,24.027938936964556,0.2208775380788924,0.22317544863367794,15.936419010162354,4.379597187042236,11.556821823120117,,,,,,0.13157894736842105,0.13513513513513514,1.6666666666666667,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
2,22,37,391,2.4004947126770215,23.369115345784415,0.10272082092786837,0.10306173160629466,14.680102348327637,5.818967819213867,8.86113452911377,,,,,,0.1891891891891892,0.19444444444444445,1.75,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
2,23,36,391,1.114567115542969,22.651095173430225,0.04920588196770098,0.049447249958104185,9.941704750061035,5.650782585144043,4.290922164916992,,,,,,0.16666666666666666,0.2,1.5,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
2,24,35,391,0.8533193603109002,22.792409395565112,0.037438751888904595,0.0381431716102878,7.868039131164551,6.638648509979248,1.2293906211853027,,,,,,0.11428571428571428,0.17647058823529413,1.3333333333333333,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
2,25,35,391,3.0710875212634434,22.416943471990116,0.1369984951383205,0.14038809392165444,10.176916122436523,5.664809703826904,4.512106418609619,,,,,,0.08571428571428572,0.11764705882352941,1.5,1,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
2,26,35,391,5.455569977568347,21.073318702247345,0.25888518342327077,0.2641948338000412,11.865614891052246,4.010735511779785,7.854879379272461,,,,,,0.08571428571428572,0.17647058823529413,1.0,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
2,27,35,391,3.800019789973031,19.56472576716177,0.1942281141681596,0.19697414040052813,2.824772834777832,4.428930282592773,-1.6041574478149414,,,,,,0.08571428571428572,0.17647058823529413,1.0,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
2,28,35,391,-0.36357310218665084,18.295677653003928,-0.019872076294859542,-0.020043777816466855,-1.950021743774414,3.7371408939361572,-5.687162637710571,,,,,,0.14285714285714285,0.23529411764705882,1.25,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
2,29,35,391,-3.6279047603241534,17.418662126079177,-0.2082768891241345,-0.20877705444253356,-6.025510311126709,1.9662840366363525,-7.9917943477630615,,,,,,0.2857142857142857,0.11764705882352941,5.0,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
2,30,35,391,-1.84454166825383,17.180724515131303,-0.10736111079770336,-0.10776150316630961,-2.6123640537261963,0.21557942032814026,-2.8279434740543365,,,,,,0.14285714285714285,0.11764705882352941,2.5,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
3,0,64,418,11.086424890243054,19.96296053930014,0.555349737250531,0.5238177364501788,-0.13552354834973812,-4.4792516231536865,4.343728074803948,,,,,,0.203125,0.09523809523809523,4.333333333333333,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
3,1,64,418,13.179945874669585,21.326442819587538,0.6180095755380405,0.5824070951774377,7.846503257751465,-5.5662806034088135,13.412783861160278,,,,,,0.25,0.06349206349206349,8.0,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
3,2,64,418,14.418570992726645,22.39096348210081,0.6439459831307731,0.6129284849962388,10.759222030639648,-5.661216974258423,16.42043900489807,,,,,,0.25,0.09523809523809523,5.333333333333333,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
3,3,64,418,14.44669546328182,22.24739274141041,0.649365776529459,0.6267157645012152,9.451119422912598,-5.7095654010772705,15.160684823989868,,,,,,0.140625,0.09523809523809523,3.0,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
3,4,64,418,10.788703637933425,20.970302281927946,0.5144753515179917,0.4960569254854971,8.261733055114746,-5.010318040847778,13.272051095962524,,,,,,0.109375,0.06349206349206349,3.5,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
3,5,64,418,2.861869853805376,20.456551095942395,0.13989991960927542,0.13380030163411694,3.0571893453598022,-1.0786796808242798,4.135869026184082,,,,,,0.203125,0.19047619047619047,2.1666666666666665,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
3,6,64,418,-1.866758081554012,20.359567364136176,-0.0916894769012797,-0.08862464598960881,-1.7085893750190735,-0.7010277807712555,-1.007561594247818,,,,,,0.21875,0.15873015873015872,2.8,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
