phase,lag,context_len,MI_bits,H_uncond,H_cond
5,30,2,0.043086410556947285,3.590349218449126,3.547262807892179
6,0,1,0.04738537628113981,3.6500585824003267,3.602673206119187
6,1,1,0.009814974962819356,3.612689310642849,3.6028743356800295
6,2,1,0.042734622500133046,3.617369032491073,3.57463440999094
6,3,1,0.06163724104839119,3.578734916882041,3.5170976758336496
6,4,1,0.008491526747604894,3.5755016056676183,3.5670100789200134
6,5,1,0.006685347420969379,3.582045449094016,3.5753601016730467
6,6,1,-0.017333954058051937,3.597485623116941,3.614819577174993
6,7,1,0.009010717907172783,3.5486436800893935,3.5396329621822207
6,8,1,0.03252559306353575,3.5677052663344426,3.535179673270907
6,9,1,0.02475622062710281,3.5331553722996816,3.5083991516725788
6,10,1,0.04349628906295999,3.637129575149156,3.593633286086196
6,11,1,0.058831646912516966,3.676466992058428,3.617635345145911
6,12,1,0.053947276566683744,3.780557811027155,3.7266105344604714
6,13,1,0.06354972441754558,3.6920335197177194,3.628483795300174
6,14,1,0.03273396983404764,3.6576768034117064,3.624942833577659
6,15,1,0.040327744977502356,3.582849489563676,3.542521744586174
6,16,1,0.03188953202045308,3.513100676584635,3.481211144564182
6,17,1,0.025020171457435847,3.4662153752800946,3.4411952038226588
6,18,1,0.02622306003381425,3.411465169122905,3.385242109089091
6,19,1,0.021292580404301376,3.5083781700684717,3.4870855896641704
6,20,1,0.023369876252886446,3.550289995026468,3.5269201187735817
6,21,1,0.004695111890109516,3.6219222170299963,3.6172271051398868
6,22,1,0.020083985733684084,3.6468372304561445,3.6267532447224604
6,23,1,0.017238462341443217,3.479846047885794,3.462607585544351
6,24,1,-0.009578579163413536,3.635779312774475,3.6453578919378886
6,25,1,0.018166754178476907,3.652054596059518,3.633887841881041
6,26,1,-0.04204641476410531,3.63417783480718,3.6762242495712854
6,27,1,-0.009621828547830447,3.6376106855483186,3.647232514096149
6,28,1,-0.009847401023287627,3.622589610443999,3.6324370114672866
6,29,1,-0.008297120427429583,3.6043584869634926,3.612655607390922
6,30,1,-0.009814043555679497,3.618881694861482,3.6286957384171616
6,0,2,0.020081500192842938,3.6500585824003267,3.6299770822074837
6,1,2,-0.0017407873652048877,3.612689310642849,3.6144300980080537
6,2,2,0.04238643091638217,3.617369032491073,3.574982601574691
6,3,2,0.0690461208960742,3.578734916882041,3.5096887959859666
6,4,2,0.0024492440706760377,3.5755016056676183,3.5730523615969423
6,5,2,-0.03510837329937777,3.582045449094016,3.617153822393394
6,6,2,-0.061336495981812345,3.597485623116941,3.6588221190987533
6,7,2,-0.026790192131461943,3.5486436800893935,3.5754338722208554
6,8,2,0.012443498208121184,3.5677052663344426,3.5552617681263214
