phase,lag,n_on,n_off,diff,std_off,snr,cohen_d,median_on,median_off,diff_median,auc,sinr,selectivity,pd_at_pfa,jsd,bestlag_phase,train_window,test_window,block_len,n_null,null_mode,stat,two_sided,pfa
3,18,25,457,-1.727957010269165,13.299696922302246,-0.12992453575134277,-0.12951919536325704,-5.225154876708984,-3.1517527103424072,-2.073402166366577,,,-0.0480218380689621,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
3,19,25,457,-2.1636738777160645,15.174819946289062,-0.14258316159248352,-0.1426881874017354,-5.414455413818359,-2.2027015686035156,-3.2117538452148438,,,-0.061513423919677734,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
3,20,25,457,-2.4279189109802246,17.713407516479492,-0.13706673681735992,-0.13851368444634485,-6.647352695465088,-2.4842774868011475,-4.1630754470825195,,,-0.09935995936393738,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
3,21,25,457,-0.9251290559768677,19.701566696166992,-0.04695713147521019,-0.047767734543434234,0.3271973729133606,-1.4928128719329834,1.8200101852416992,,,-0.1648171842098236,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
3,22,25,457,1.4242867231369019,19.597034454345703,0.07267868518829346,0.07354361349550464,2.2085678577423096,0.4624491333961487,1.7461187839508057,,,-0.0981474369764328,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
3,23,25,457,1.8285584449768066,17.8974666595459,0.10216856002807617,0.10280205835740758,-2.863633632659912,-0.6802739500999451,-2.1833596229553223,,,-0.03633721172809601,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
3,24,25,457,0.5290960669517517,16.665037155151367,0.03174886852502823,0.03179308150168901,-6.328535556793213,-0.24547716975212097,-6.0830583572387695,,,0.04736095666885376,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
3,25,25,457,0.02983802556991577,16.36280059814453,0.0018235280876979232,0.0018182034166583625,-5.998663425445557,0.3198798894882202,-6.318543434143066,,,0.07909780740737915,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
3,26,25,457,0.14696991443634033,16.504343032836914,0.008904923684895039,0.008839721349331323,-6.961017608642578,-0.014918230473995209,-6.946099281311035,,,0.05883309245109558,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
3,27,25,457,0.5096720457077026,16.584869384765625,0.030731145292520523,0.03052910112037552,-5.896783351898193,-1.0475317239761353,-4.849251747131348,,,0.02990397810935974,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
3,28,25,457,-0.13735461235046387,16.05716896057129,-0.008554099127650261,-0.008514608541974313,-6.2491774559021,-1.7288289070129395,-4.52034854888916,,,0.02236098051071167,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
3,29,25,457,-1.442580223083496,15.26619815826416,-0.09449505060911179,-0.09409856253341427,-8.052644729614258,-2.423377275466919,-5.629267692565918,,,0.028202295303344727,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
3,30,25,457,-2.337744951248169,14.41425609588623,-0.16218283772468567,-0.1613902667280245,-8.160660743713379,-2.8571228981018066,-5.303537845611572,,,0.022161662578582764,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
4,0,38,482,-4.388861656188965,23.897445678710938,-0.18365401029586792,-0.18280027964755505,-9.700701713562012,-3.945096969604492,-5.7556047439575195,,,-0.015489071607589722,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
4,1,38,482,-3.470684051513672,23.596956253051758,-0.14708185195922852,-0.14762851274263278,-6.498452186584473,-3.390204429626465,-3.108247756958008,,,-0.0757807195186615,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
4,2,38,482,-1.264514446258545,22.975086212158203,-0.05503850802779198,-0.055547192044420164,-2.1767935752868652,-3.0056605339050293,0.8288669586181641,,,-0.11975935101509094,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
4,3,38,482,1.962936520576477,20.5689640045166,0.09543196111917496,0.0962044453915468,1.8832838535308838,-1.506713628768921,3.3899974822998047,,,-0.10046446323394775,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
4,4,38,482,4.314123630523682,17.527475357055664,0.2461349070072174,0.24455412060702905,2.718423366546631,-1.3439860343933105,4.062409400939941,,,-0.062330812215805054,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
4,5,38,482,5.086114883422852,16.61306381225586,0.30615153908729553,0.30325874889256527,11.513927459716797,0.9462213516235352,10.567706108093262,,,-0.002380073070526123,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
4,6,38,482,5.341703414916992,17.215641021728516,0.31028199195861816,0.30699230572530906,9.400604248046875,1.3678109645843506,8.032793045043945,,,0.007625162601470947,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
4,7,38,482,4.951911926269531,17.483219146728516,0.2832379937171936,0.27931844866171696,6.190378189086914,1.3869173526763916,4.803461074829102,,,0.0030062198638916016,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
4,8,38,482,4.271092414855957,17.109689712524414,0.24963003396987915,0.24539552343607063,4.670620441436768,1.031584620475769,3.639035701751709,,,-0.002406895160675049,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
4,9,38,482,3.7059264183044434,17.20855712890625,0.21535369753837585,0.21146155115113183,3.123811721801758,1.1023927927017212,2.021419048309326,,,-0.01503819227218628,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
4,10,38,482,4.1688971519470215,17.611177444458008,0.2367188185453415,0.2329608318595097,4.569023132324219,0.9234243631362915,3.645598888397217,,,-0.020775586366653442,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
